Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bosnia and Herzegovina,BIH,GNI (current US$),NY.GNP.MKTP.CD,6095782289,6287490163,7159856497,8902795211,11102677270,11690938513,13256503752,16247339398,19818943829,18292316216,17456153857,18794360509,17361528577,18420596565,18710141840,16321319478,16935911543,18014610176,20103614967,
Belarus,BLR,GNI (current US$),NY.GNP.MKTP.CD,12679761439,12305920144,14543051368,17841993174,23143451852,30159871402,36854632634,44904886300,60280793539,50064563910,56107674052,60375790754,64182720883,72802868131,76354715376,53957136255,45508099166,52644634115,57886015607,
Belize,BLZ,GNI (current US$),NY.GNP.MKTP.CD,779173350,804811100,865070700,900896200,941101350,999776450,1092159600,1131589750,1203447900,1244572750,1238679887,1363614912,1402736740,1460177965,1520099503,1628319449,1666548944,1681173410,1690260108,
Bermuda,BMU,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,7815302000,7840342000,7184128000,7163899000,6876144000,7002064000,7086661000,,,,,,
Bolivia,BOL,GNI (current US$),NY.GNP.MKTP.CD,8172380982,7930377408,7700785216,7780518762,8388731804,9172726311,11054624632,12630742727,16137947294,16666184074,18785524378,22802283408,25455219595,28751567685,31298228437,31873100521,33320230246,36448198278,39271992923,
Brazil,BRA,GNI (current US$),NY.GNP.MKTP.CD,6.36546E+11,5.4121E+11,4.90921E+11,5.40602E+11,6.49543E+11,8.65856E+11,1.07992E+12,1.36741E+12,1.65424E+12,1.63013E+12,2.14064E+12,2.54897E+12,2.40368E+12,2.43845E+12,2.41023E+12,1.7683E+12,1.7576E+12,2.02425E+12,1.83217E+12,
Barbados,BRB,GNI (current US$),NY.GNP.MKTP.CD,3026350000,3007050000,3050650000,3140900000,3397500000,3722300000,3920150000,4484500000,4536050000,4289900000,4418050000,4360750000,4483950000,4417900000,4410900000,4381696400,4318092650,4461096100,4515727900,
Brunei Darussalam,BRN,GNI (current US$),NY.GNP.MKTP.CD,6001153306,5601090584,5843329108,6557333085,7872333215,9531402848,11470703002,12310094221,14447599069,10784466314,13606894023,18026870180,18590749040,17893222506,17083109708,13580987708,12235575183,12848504598,13778634443,
Bhutan,BTN,GNI (current US$),NY.GNP.MKTP.CD,423968319.1,461207368.9,512806665,590246765.2,666547379.2,785369262.5,871434234.3,1152351469,1193789868,1183441318,1460010353,1663196387,1639170541,1632780315,1772100521,1860822551,1973485495,2237541687,2226485622,
Botswana,BWA,GNI (current US$),NY.GNP.MKTP.CD,5436161218,5352478943,4740668163,6795865108,7997879094,9095559917,9353973632,10200889864,10196257013,10029116812,12237098092,15570559372,16411868138,14526523473,15905157830,14205367973,15043478241,16826458734,17999581575,
Central African Republic,CAF,GNI (current US$),NY.GNP.MKTP.CD,901436083.9,924010113.1,982309385.2,1136967017,1256265520,1327140868,1449089089,1686871786,1962359935,2053265655,2150137120,2444507993,2521492465,1706224126,1911970213,1716189916,1846527333,2172555801,2385580055,
Canada,CAN,GNI (current US$),NY.GNP.MKTP.CD,7.25237E+11,7.18179E+11,7.41407E+11,8.73516E+11,1.00457E+12,1.14914E+12,1.2983E+12,1.4472E+12,1.53017E+12,1.35096E+12,1.58538E+12,1.75945E+12,1.79592E+12,1.81847E+12,1.77657E+12,1.53266E+12,1.50933E+12,1.63046E+12,1.69405E+12,
Central Europe and the Baltics,CEB,GNI (current US$),NY.GNP.MKTP.CD,4.21175E+11,4.61129E+11,5.18317E+11,6.16866E+11,7.33874E+11,8.59215E+11,9.66664E+11,1.21012E+12,1.47873E+12,1.24922E+12,1.26488E+12,1.38891E+12,1.30396E+12,1.37858E+12,1.41765E+12,1.2421E+12,1.27109E+12,1.4063E+12,1.5763E+12,
Switzerland,CHE,GNI (current US$),NY.GNP.MKTP.CD,2.90146E+11,2.89702E+11,3.09441E+11,3.76102E+11,4.18641E+11,4.42982E+11,4.63071E+11,4.82831E+11,5.18151E+11,5.5181E+11,6.18068E+11,7.07649E+11,6.8299E+11,7.0303E+11,7.12235E+11,6.95948E+11,6.74974E+11,6.87537E+11,7.13007E+11,
