Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Bahamas, The",BHS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.606329417,2.044989775,2.173577925,3.025045263,0.981914037,1.591606181,2.389826274,2.492577949,4.489559954,2.062734735,1.344027384,3.198781417,1.97336756,1.034670351,1.183177822,1.878438324,-0.330038396,1.499926233,2.267515101,
Bosnia and Herzegovina,BIH,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,6.125566156,1.500777106,7.427043103,-0.381464282,1.996212367,3.67125,2.05267452,-0.093045684,-0.897194054,-1.036023034,-1.5841,0.810133322,1.41710814,0.562782154
Belarus,BLR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,6.997129035,8.426752735,14.83787648,12.94565634,7.735748043,53.22869831,59.21973602,18.31226104,18.11955435,13.53448976,11.83658077,6.031837252,4.872302206,5.59815595
Belize,BLZ,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.608229989,1.589653779,0.928258852,3.337274997,4.437380801,5.393231069,4.282396048,8.705609236,14.00681077,3.346454201,2.503276058,9.884464198,4.515602914,5.736400237,5.766600746,4.059610411,3.623214318,2.822758055,2.272059872,1.83954505
Brazil,BRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.044141059,6.840359025,8.450164377,14.71491972,6.5971851,6.869537209,4.183568129,3.641272991,5.678593903,4.888034799,5.038726901,6.636449622,5.40349914,6.204310666,6.329040155,9.029901024,8.739143523,3.44637335,3.664850284,3.732976212
Barbados,BRB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.435813035,2.577834904,0.125249458,1.619433198,1.394422311,6.082187295,7.307662628,4.034229829,8.108108108,3.643861893,5.824218533,9.432202402,4.533347539,1.81410436,1.769503221,-1.112789925,1.281928131,4.66018464,3.673814104,4.100289645
Brunei Darussalam,BRN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.558152476,0.595890411,-2.314972425,0.3,0.814223995,1.244437119,0.159888078,0.96777412,2.084980237,1.035717743,0.356869132,0.137911563,0.111766261,0.389205053,-0.207108732,-0.488347421,-0.278693266,-1.260505646,1.025051793,-0.390522069
Bhutan,BTN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.01099373,3.410404624,2.483430488,1.566152408,-18.10863013,5.311513063,5.00045438,5.156111388,8.327160494,4.361122191,7.036383161,8.848985699,10.91965694,7.006666667,8.271060939,4.548143951,3.219886894,4.95508367,2.723963862,2.725821043
Botswana,BWA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,8.601485149,6.55903767,8.032796625,9.189902656,6.945703637,8.610225285,11.55521879,7.080998472,12.70218839,8.027297031,6.948876587,8.459872334,7.536902611,5.884607071,4.402253092,3.062031696,2.814957914,3.308280768,3.238015589,2.772864429
Central African Republic,CAF,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,
Canada,CAN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.719439957,2.52512014,2.258394409,2.758563214,1.857258719,2.213552034,2.002025395,2.138383993,2.370270674,0.299466803,1.776871541,2.912135089,1.515678231,0.938291898,1.906635907,1.125241361,1.428759547,1.596884129,2.268225672,1.949269024
Central Europe and the Baltics,CEB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,8.911744187,5.748279817,3.12714223,2.348641696,3.592975942,3.317178244,3.930326038,4.837329283,6.358663802,2.753202239,1.801170221,4.130275626,3.334922677,1.438297872,0.053821313,-0.464499005,-0.054999542,2.075935537,2.534454242,2.664561334
Switzerland,CHE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.558518468,0.989017153,0.642708442,0.638298911,0.802882618,1.171951144,1.059525055,0.732336631,2.42604804,-0.480467934,0.688233449,0.231336577,-0.692545842,-0.217308518,-0.01322916,-1.143900644,-0.434607639,0.533795988,0.936313303,0.362916005
Channel Islands,CHI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.843272957,3.56910053,2.489398167,2.810178757,1.054738714,3.052576214,3.392017337,4.407799384,8.71626873,0.353045178,1.41071108,3.341216943,3.007448402,1.78955554,4.718675279,4.348773532,3.786193559,2.182718469,2.434889814,2.557544757
China,CHN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.347806257,0.719132437,-0.7319755,1.127601961,3.824637624,1.776416168,1.649433101,4.816765313,5.925255289,-0.728171334,3.175327981,5.553897059,2.619526165,2.621049027,1.921643416,1.437024514,2,1.593137255,2.074788902,2.899235799
Cote d'Ivoire,CIV,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.530775167,4.36152914,3.077264852,3.29680747,1.457988356,3.885830399,2.467191486,1.892006293,6.308527692,1.019504577,1.226456121,4.912433951,1.304511199,2.581170373,0.448682077,1.251499548,0.723178458,0.685881065,0.439062777,-0.88393011
Cameroon,CMR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.22719013,4.419772459,2.834422601,0.623163557,0.23364738,2.013539502,5.11757816,0.921402246,5.337806276,3.043618479,1.275380462,2.939699463,2.735296775,2.05034718,1.854898504,2.676235314,0.874190383,0.64040915,1.068858113,2.452802141
"Congo, Dem. Rep.",COD,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,513.9068437,359.9366143,31.5225826,12.87396572,3.994384008,21.31681672,13.05269497,16.94510065,17.30138457,2.8,7.1,15.31651591,9.721828063,0.808223101,1.243038898,0.744198995,2.885851073,,,
"Congo, Rep.",COG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.881991517,0.055989922,4.378759718,-0.631844987,2.42976608,3.094490115,6.537843953,2.654646451,4.95875092,4.415003748,0.391525011,1.759587043,5.010187731,4.631616197,0.912139545,3.169097968,3.190561797,0.450063823,1.152778964,2.206073058
Colombia,COL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,9.222570802,7.969702931,6.351925074,7.130741686,5.901261815,5.051420287,4.292450118,5.545141282,6.998550403,4.201044769,2.271183264,3.417589591,3.167325603,2.018098479,2.897818744,4.990234275,7.514293228,4.312141032,3.240234138,3.525492736
Comoros,COM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,5.554593948,3.533042143,3.799081367,4.474992891,3.013323951,3.374363601,4.466167101,1.700781763,4.362348293,3.354757703,1.842663008,6.314744503,-4.294873315,,,,,,
Cabo Verde,CPV,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-2.477456685,3.349964723,1.884534101,1.188170386,-1.890821723,0.418891613,5.369076871,4.410997042,6.774435464,0.991103481,2.078664709,4.473883422,2.540396442,1.506542857,-0.238778145,0.131187999,-1.407816371,0.784415251,1.256995667,1.106666565
Costa Rica,CRI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,10.96228165,11.25579673,9.166405592,9.448252205,12.31481481,13.79779527,11.47075134,9.357220397,13.42472922,7.842546301,5.662691396,4.878145546,4.495378139,5.231241344,4.519380809,0.801946649,-0.017551757,1.625707485,2.221215313,2.096202566
Caribbean small states,CSS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.308815608,2.602624023,2.107334476,2.195182371,2.354332221,3.815851436,5.464555562,4.257557957,8.067647673,1.239738108,3.403267231,4.217242655,2.987662292,1.289501965,1.136309698,-0.679637508,0.488912144,1.892520278,1.282842884,
